read_id	speed	exp	mutant	HU
3f6fc896-55e7-4805-8834-ed6b760d30ee	2400	BT12_BT1	WT	0
3c33f16a-c07b-4b05-a9d2-d7facd5220b0	2500	BT12_BT1	WT	0
3c33f16a-c07b-4b05-a9d2-d7facd5220b0	1950	BT12_BT1	WT	0
70885c2c-70ca-4500-b51a-65cdf8dca84c	2000	BT12_BT1	WT	0
e69a2d1c-6dd3-4984-9af0-3a69e149c6a3	1950	BT12_BT1	WT	0
2723c947-1221-4c7a-9820-093e801a0949	3200	BT12_BT1	WT	0
887bdc62-f234-459a-8f88-b907d05ca27a	2900	BT12_BT1	WT	0
e600c8cc-00ea-49a1-9664-12f65aaec943	1800	BT12_BT1	WT	0
7d619c62-cca4-4573-8274-c6160aaa08b2	2100	BT12_BT1	WT	0
e94f7c31-c73a-4c4f-98eb-52b80a04ee8f	4550	BT12_BT1	WT	0
a2f51d5b-6c17-4be4-9475-8927853ed347	2500	BT12_BT1	WT	0
b99e72d8-27fe-4d59-878f-73c1065ab561	1100	BT12_BT1	WT	0
2c9b84ab-c633-4075-af2f-5359795e22cf	1300	BT12_BT1	WT	0
ea647a58-1b33-41cb-8726-28e1a59b6191	2150	BT12_BT1	WT	0
efbbf9d2-82d5-44fe-ad69-71bbfa732cb9	2650	BT12_BT1	WT	0
ba719bcd-b705-4775-a5b0-0db93f4f5103	2350	BT12_BT1	WT	0
ba719bcd-b705-4775-a5b0-0db93f4f5103	3300	BT12_BT1	WT	0
f819ff81-99b2-47cd-a4b7-50b2e1745729	2200	BT12_BT1	WT	0
f819ff81-99b2-47cd-a4b7-50b2e1745729	2150	BT12_BT1	WT	0
29fb2d32-6089-4d0b-92b5-10d3e9a85860	2750	BT12_BT1	WT	0
4db4f119-16f9-48d5-8e0d-f52b4a8fd7bd	2300	BT12_BT1	WT	0
fecdd91f-f78d-4bf9-b7fb-22efa8856aa9	1900	BT12_BT1	WT	0
6b66914a-40ba-4a34-91eb-23dcda39bc3a	850	BT12_BT1	WT	0
664f5319-5e1a-425f-8235-ea0335d7aa84	2700	BT12_BT1	WT	0
656921e5-3b8f-417b-8002-414c64f18d62	2750	BT12_BT1	WT	0
4796e7c3-3bef-4c8d-9191-a3077e569312	1600	BT12_BT1	WT	0
5a1e9545-224f-43d5-8ae6-d8c653ae70da	2200	BT12_BT1	WT	0
5f97a39a-fce8-495c-8c07-6f713ec716e3	3050	BT12_BT1	WT	0
68316fc5-6133-479b-b4b4-1251b23df2cd	1350	BT12_BT1	WT	0
68316fc5-6133-479b-b4b4-1251b23df2cd	1950	BT12_BT1	WT	0
7c7f3f59-e9a8-48b6-8ddc-fcf4c400b5cf	3050	BT12_BT1	WT	0
d513faa3-e9c9-444e-817c-2eb46f1263d4	2700	BT12_BT1	WT	0
3e827690-f812-4a50-980f-0918f235bcaa	2250	BT12_BT1	WT	0
812ada06-2bf9-4845-ab01-b266b9cdc12c	3050	BT12_BT1	WT	0
f07aa235-649b-4ad2-abd4-88b7e44307cd	2250	BT12_BT1	WT	0
2b1abcbf-af8e-4e74-8e30-3aea4c3f08f9	1600	BT12_BT1	WT	0
4967dc81-763f-4e3c-870d-7cf689dabc26	2600	BT12_BT1	WT	0
81375bc3-6f63-46e7-9121-1e1419abb2ff	2200	BT12_BT1	WT	0
e81273bf-8958-44f6-8c72-31947af430a9	2950	BT12_BT1	WT	0
d3c259d1-bf45-4558-8490-e3aaf623a85a	2150	BT12_BT1	WT	0
01caa163-7fb0-4fb0-8820-932e5efa34ee	3050	BT12_BT1	WT	0
f2f0bdf5-2742-404b-ba8a-d4605042102e	2950	BT12_BT1	WT	0
f2f0bdf5-2742-404b-ba8a-d4605042102e	3100	BT12_BT1	WT	0
2021378c-0083-41d8-9249-b1bd5bf410e8	3100	BT12_BT1	WT	0
