read_id	spedd.rdp
596c2eaa-c54c-444d-a542-16fc2fbb2c72	2600
41ee1f5a-6924-4a11-9c38-9ce5c01bd2c6	1950
7c636ceb-8d2e-46b6-9b2a-99f1441deaef	1700
0e08e2fa-b64b-4149-8fd4-6db3c60f69bb	1650
00f7486f-818b-47a1-a8a3-25992e98878f	650
b770942e-705d-47dc-9848-cc8e7d775da8	2800
69b4d71f-aa54-4909-a32e-2a04af5e96bf	4050
69b4d71f-aa54-4909-a32e-2a04af5e96bf	1850
3d501dff-4433-4863-bd2e-98a5f3e86800	2600
25cad767-1935-4123-87c9-a377f79a2aeb	2850
972b112e-4e38-43fc-b6cf-68b42822acc0	1950
5fce1428-a71f-44a2-a793-7a7b02f9ddaa	1300
3c339b81-6a73-46c0-9db1-47e22ae93df0	1200
a13f6f52-730b-4342-9840-32e09a5c938b	700
9881eec3-92a4-4c79-b351-63b23c1ec640	1750
b7b4dd6f-96ef-44c1-a985-507ca5c378a5	750
ae1fc3a3-5309-4b6e-b5b2-6c5258644b6b	3000
933cd07d-4e15-42b1-a374-ddd0e5bc9eaa	2750
7a232014-bf76-446f-8713-d4be99251fea	3000
c6b1e154-c7dc-44d7-b5e6-69c7ee3e7589	1450
c6b1e154-c7dc-44d7-b5e6-69c7ee3e7589	1100
3723d35e-a663-4e83-9944-5b2c7745c141	4200
d00150e7-e6fc-420e-82b8-c43ea115743a	1250
f72e7a61-e0bb-4054-8e93-5f79c9f353a8	3650
4e9f6879-316f-45f6-8024-793cd031ff65	1500
ecb2f7bf-905c-49cd-9025-1862bfb95e99	3650
ecb2f7bf-905c-49cd-9025-1862bfb95e99	1750
0b8599b0-1b7a-41cc-99bd-e2c14155e8a7	3550
cf6448b4-836a-4645-bfd3-1d289ad04652	2650
39990140-796d-4d2d-8d39-3c1b35a278e8	900
d598a7b8-929c-4be2-bcf4-50837658024e	2150
d598a7b8-929c-4be2-bcf4-50837658024e	1600
d598a7b8-929c-4be2-bcf4-50837658024e	1700
d598a7b8-929c-4be2-bcf4-50837658024e	2250
3ebac870-a67d-4fa8-af46-d257d206996e	1550
0de5635e-c430-42be-b13b-88edbf4132ab	850
0de5635e-c430-42be-b13b-88edbf4132ab	750
7438752c-420c-48fc-811a-06c643e501e6	2100
9b98fa2c-6062-4ff5-8779-3e8553cdd924	850
9b98fa2c-6062-4ff5-8779-3e8553cdd924	850
fa2d0e39-a7f0-422d-9a81-780504e97a9e	1550
88ba7f01-b95e-4dff-a1b9-b46f0d6999f6	2500
dd21e49a-bd0b-4008-b15e-be5728c8e30f	3200
44c1e5df-6888-4c20-aaca-2f1e4eabbc3e	850
bdcee583-b119-453b-beae-2f29817debd0	2900
d200d2b0-c18c-4ecf-a919-e9fae60e23cc	5600
78af8bb9-ef10-48e3-8a62-2d2ae5e1e9f3	4200
b02fb080-cb48-4e32-b6e8-2a1f563c7db0	2850
f9aaaa17-634e-4b68-b8e2-0f8d336acfeb	3300
5c975fe4-4e0f-4a35-aae1-97bb417e7c4b	800
05e2671a-a068-484e-b86d-7b9bdd4bc325	700
a56c8a5a-9186-443d-abe8-939c76a50441	3250
dec84a81-0264-4e08-a5c8-6a5cefae7147	1300
ebb938bf-ab26-4d5c-9515-c50e5973b2af	3250
c70a5bf6-94c2-4811-83a3-e842bcd514a3	1600
c70a5bf6-94c2-4811-83a3-e842bcd514a3	900
c70a5bf6-94c2-4811-83a3-e842bcd514a3	1200
2de55078-7369-4c97-a0a2-1c33c8cc2147	2650
32c7d10a-82fe-480b-913f-ab4ab9d81101	1850
32c7d10a-82fe-480b-913f-ab4ab9d81101	2050
32c7d10a-82fe-480b-913f-ab4ab9d81101	1650
31824df5-dd2d-45c3-b944-47a89b660f1d	2300
3a8d3189-ea1a-4b50-b1de-d0fd31f309c4	4150
3a8d3189-ea1a-4b50-b1de-d0fd31f309c4	2450
0cd4f887-a74e-4543-b9fb-f96eb1b7cd79	2200
68384c86-38b0-4e4a-8309-dea860ae477e	1250
68384c86-38b0-4e4a-8309-dea860ae477e	1300
b15e89be-9faa-444c-ac3d-99189230dfca	2900
29f96a49-7f9d-4d6e-8fd4-60f9e2fc5846	1750
9a988221-0f8b-49fe-8432-d0a90f1a5ed2	1550
b645eff7-aa5a-4c5b-9f12-42be4ca01228	1300
b645eff7-aa5a-4c5b-9f12-42be4ca01228	1200
b5f7921f-3c75-496b-aea3-a996bb8aa108	800
14c69f5d-3aca-4c3d-aa0a-c861c7407709	1500
803d5326-543f-4e92-a117-013b51b5d230	3450
f530c3ea-9915-4153-b02d-47961d6770a9	4650
edcd9eae-1881-406a-ab63-4ed9c94eafc7	1050
6351dc4f-9eaf-471b-9593-27746f332ca5	1400
3504f4a8-3cd0-4c48-ad55-7337c37740f4	1100
e6f52a68-77a7-43c6-b75a-75659348695e	2950
d1ff3602-f1d2-44dc-ae12-d5b70ff60ff7	1000
d1ff3602-f1d2-44dc-ae12-d5b70ff60ff7	900
929a788a-ba77-4341-b505-411b02fa1604	1950
24acfaaa-2123-4c13-9283-ff2de3b08452	3300
b68310ed-6968-45f7-b941-ec1e87ebaf0c	2350
b59719b1-d28a-4a69-a626-9767acd8baa3	1900
fea3ddb2-7905-4e2d-b19e-c66573158c6b	1300
2f1197bf-e74a-47b0-a613-22de991c4c05	3800
e4471812-b093-4f9d-93a6-a30c90187fb7	1750
3a58b176-5df5-4ca1-8ef5-42c517a44b60	1800
